name,num
三明治,2344025
起司,701565
烤,652955
雞,557975
蛋,506545
火腿,400405
鮪,294170
醬燒,292465
堡,171055
黑松,154685
露嫩,154685
經典,142685
司堡,138455
雙牛起,138450
肉蛋,127205
餐豬,125045
牛肉,109270
美式,88650
蛋堡,74550
元氣,74550
65,69780
吐司,51735
皇家,46680
雞堡,33625
煙,33155
燻,33155
卡脆,31595
漢堡,25060
花生,14365
雙層,8100
套餐,5925
脆雞堡,5380
組合餐,3920
珍珠,3280
超級,3280
總匯,2980
脆,2720
雞堡餐,2720
大麥元氣,2335
方塊,1920
薯組,1920
雞生,1850
精選餐,1685
堡餐,1655
豬排,1605
代銷,1325
大麥,945
怡客,615
祥有味,355
單現,230
厚,45
王,35
現貨,10
20220912swhmgsaw,5
20220918e4cwgfz8,5
20220919koouvjju,5
20220909b9vy6bbu,5
20221217f1xmqcbv,5
