name,num
花生,182960
中華,161035
桂冠,143270
湯圓,140180
豆花,139495
愛玉,115930
中華甜,114650
仙草,102475
嫩,90590
花生豆,73180
花,73180
凍,60615
黑糖,37970
水果,36075
三福,34690
風,34125
黑丸,33370
三福嫩,30070
光泉,23635
盒,22780
分享,22740
芋頭,22210
酥,21805
翅,21430
漿,16575
花生米,16575
檸檬愛玉,15760
寶可夢,12500
奶凍,12485
400ml,10370
150g,9775
鮮芋,7265
HIL,7255
仙,7135
936ml,6080
綠豆湯,5705
薏仁,5695
200g,5220
蒟,5190
蒻,5190
奶酪,5170
紅豆,4245
小湯圓,3960
椰,3170
大吸館,3170
4150g,2400
雙醬,1945
招牌,1695
燒,1535
罐組,1490
255g6,1490
小,1480
羊羹,1420
團雙,935
月,935
蓮子湯,880
名屋,870
入,760
4,760
家福,725
200g10,620
饅頭,455
御,250
萩,250
110g,250
冰沙,155
綠豆,10
20220917y7flpddl,5
20220922f4mowwnv,5
