name,num
牛乳,1444740
光泉,1404910
奶茶,729515
福樂,387060
飲,380835
麥香,364105
他,303035
富維,303035
保久乳,263350
飲料,261355
蘋果,252125
果汁,244205
巧克力,244085
超能,208900
蛋白,208900
牛奶,205465
必思,186795
可爾,184815
乳酸,180930
可可,178335
麥香雞,165625
中熱醇,165005
黑厚,165005
風味,152570
高鈣,132815
乳酸菌,130880
味,128130
原味,98525
葡萄,95655
全脂,93155
飲品,84240
健酪,82535
乳,66095
調味,49360
台農,48195
麥芽,40930
牛,39660
優質,38080
啵,36560
樂樂,36430
台農麥芽,34220
鈣,30355
多多,30230
雙麥,30210
義美,22900
可爾必,15030
入,9100
200ml,6140
200mlx6,5300
箱,2255
