name,num
優格,292710
林鳳營,148790
草莓,130270
果實,102155
大粒,101630
特濃重,68980
蜂蜜,68795
乳,67690
烤,57440
瓣,49710
鮮美橘,49710
蜜汁,34475
雞堡,34475
N,34475
優酪,32875
乳酪,28565
鮮奶,28075
莓果,27805
光泉,26520
絲,24485
穀,23680
物脆,23505
片鮮奶,23505
焗,22920
安柏,21850
頂級,19750
藍莓,18230
優格莓果,12540
加糖,9825
無,9820
希臘,8265
無糖,7290
特濃,6020
130g,4660
番茄,3885
斯迪克,3885
魯,3885
百香,3125
福樂,2590
希臘式,2215
500g500g,2195
統一,1685
選,1425
乳優,1290
實感,1100
500g,770
瓶,725
500gPP500g,725
雪,685
黑糖,625
完整,525
鮮白桃,525
優格莓,205
飲料,30
胡椒,30
去,30
冰,25
三包,10
一包,10
冰起,5
司,5
