name,num
義美,13720
豆奶,13195
936ml,5535
豆皮,5475
全豆,4905
毛豆,2945
黎麥,2850
組,1000
入,845
豆花,780
豆腐,640
傳統,595
有糖,580
光泉,495
統一統,485
箱贈,485
250mlx2,485
加糖,485
無,485
一陽光,485
黑豆,450
290g,435
1000,400
原味,375
250ml6,350
大醇,315
豆,315
豆漿,315
瓶,315
400m,180
正庄,175
冬瓜茶,175
義美百頁,170
300g,170
漿,160
鮮豆漿,100
B,95
麥,95
沙拉,95
藜,95
義美湯,50
水,50
雞蛋,35
奶茶,35
阿薩姆,30
愛健,25
紅豆水,25
薏仁,25
530mlx4,25
入現,25
貨蝦,25
290G,20
特價,20
義美傳,15
24,15
盒,15
統豆,15
ROSSA,10
箱,10
37,10
正康,5
黑,5
33,5
23,5
