name,num
波堤,7185990
211216,6430360
草莓,4850450
那堤,3062920
大,2259545
蜜糖,2188020
巧克力,2151990
布丁,2101155
優格,2097770
統一,967690
餅,921970
焦糖,745915
茶,428850
230110,375780
歐菲香,326050
濃抹,272610
派,268980
核果,262475
太妃,262475
紅茶,245625
中,239670
冰特選,235055
冰,228690
大福,211165
220906,183110
海鹽,172600
泡,163460
芙,163455
醇,161980
蛋糕,161275
馥郁,147930
經典,141135
抹,124175
珍珠,118945
可可,115840
碎片,115790
冰醇,110630
堡,109275
冰經典,104195
冰福吉茶,102115
V,65130
杯,65130
風味,58460
海洋,58160
大麥,53890
超級,53890
燒,36945
薑,36505
麥,36200
藜,36200
星冰樂,30130
南瓜,29270
組合餐,15460
明太子,11560
20220904f4dl1bbk,5
