name,num
5,1319760
味,695040
鮮食類,680210
滷,654790
小菜,648295
外送費,635745
日用,557080
百貨類,557080
禮盒,320115
海苔,190525
爆米花,187800
星巴克,151730
原味,147230
米果,140225
促,111125
捲,80405
綜合,76715
酥,70880
焦糖,67780
旺旺,64390
仙貝,62085
咖啡,38325
鹹,35175
卡滋,34155
口味,33560
心,32255
起司,31930
S,31770
甜,29995
脆片,29795
鹽,28190
餅乾,27885
法蘭,27360
優龍,27310
烤,26975
料,26400
都,26400
經典,24890
香鐵蛋,24545
星願桶,15540
紫菜,15025
乾酪,12980
歌舞伎,12540
揚綜合,12500
牛,12015
迷你,12015
日本,10630
糖,7620
清涼,7585
風味,6680
瓜子,6345
銀雪,6150
龜田,6135
堅果,5985
脆米星,5740
盛香珍,4910
豐葵,4885
香,4870
果子,3405
兔年,3380
總匯,3285
比薩,3285
義美,3245
春日,3190
桶,3070
脆餅,3040
北,2120
57g,1945
井,1930
綜合豆,1930
蒟,1515
