name,num
包,1330865
麵,1286815
二配,1188400
冰淇淋,870040
牛奶,811715
一配,685630
雪糕,626025
可可,519395
茶,402710
巧克力,349640
克林姆,339555
義美錫蘭紅,326940
冰棒,309435
花生,267425
滿餡,245700
深,245700
焙,245700
球,192595
捲,157730
愛心,118010
脆皮,86195
打大,86045
百吉蘇,86045
大,82795
百吉,80465
麥當,77060
杜老爺,76860
享券,76670
即,76650
勞蛋,76265
蜂蜜,74580
粿,62515
豆粉,62515
情人,59850
玉井,59605
果大脆,59590
布丁,48810
紅豆,39650
雙倍,32900
特級,27015
入,19795
派,13235
曠世奇,13195
買紙,3495
送,3495
夏威夷,3495
個,3495
人,3495
比薩,3495
珍珠,3495
組合餐,2870
堡,2870
牛肉,2870
大麥元氣,2140
超級,2140
比薩獨,1650
鐵板,1650
雙牛,1650
享餐,1650
藜,730
麥元氣,730
20221205o4o322ow,5
20221203l1pbqrh1,5
20221202o3td7vbc,5
20221225gv6jhnmb,5
