name,num
火鍋,1111070
肉片,1073735
桂冠,1066060
豬,1038875
梅花,598410
雞塊,534005
麥克雞塊,509140
五花,496625
豬肉,462545
六塊,353260
湯圓,315805
四塊,278930
C,264805
汽水,255765
熱狗,255765
冷凍,213805
魚餃,205080
水餃,185725
蛋,184735
麻辣,184075
餃,178880
鼎王,176150
十塊,155450
酥,142320
手工,137520
雞,133420
義美,126255
炒,119745
雅方,97430
花生,95195
塊,94025
上校,93895
燕餃,93545
紅龍,92245
芝麻,82260
1,72880
蝦,72430
3KG,68940
花枝,68255
高麗菜,62605
小,58720
小湯圓,54735
韭菜,41745
蝦球,41090
卜蜂,37010
玉米,36405
200g,36390
雞肉,30640
蔬菜,30260
舒肥,30025
盅,29680
捲,28405
牛肉,24720
鮮肉,23975
4,20510
奇美,18710
草莓,17505
甜心,15440
貢丸,14020
香菇,14020
龍鳳,12435
美式,1010
臘腸,1010
雙層,1000
大比薩,1000
飯份,345
泡菜,35
20221211b6rtudnn,5
20221226z0jwwjo4,5
20221218a8hu9vck,5
20221229r7dbofx0,5
