name,num
蝦幣,1116600
蝦皮,1041885
折扣,1041255
仁,161330
海鮮,125265
包,116450
KS,108565
生蝦,103615
鮭魚,94700
虱目,91240
魚片,54265
魚肚,45455
鮭,37300
飯,37025
切片,36820
挪威,36435
糰,36120
魚卵,35905
一配,35900
無刺,24425
刺,20900
鯛,19145
鯖,17785
去,16835
烏魚子,16610
魚肚大,15420
生活,15215
比薩,14655
人,14650
魚,12940
學甲無刺,11860
一口,11515
鮮綠,11000
野生,10765
買,9055
一海鮮個,9055
一送,9055
鹽漬,7435
單點,7285
貼體,6565
薄鹽,5905
白腹,4965
海鮮個,3375
即食,3200
吃,3165
綠,2915
配鮮,2910
無毒,2705
台灣,2660
1,2575
炭烤,2540
特大,2340
魚燒個,2220
風章,2220
和,2220
鱸,1915
小比薩,885
鮮嫩,790
鯛魚,790
SeafoodPizzaExc,130
X220221105z6,70
X220221108z6,55
烤,35
焗,35
20230214y1vck,10
20230215y3enr,10
20221216z9di7q0,5
20221217y1mj81r,5
20221217z4njcom,5
20221219e0hbpqn,5
