name,num
火鍋片,647060
梅花,388570
雞,379680
冷藏,298645
肉片,290000
腿,282560
澳牛,281630
肌火鍋,251505
豬里,248410
香腸,179315
翅,174295
骨,170395
台灣,168565
去,157750
鮭魚,134095
肩里,128235
輪切,127885
真,122285
清雞,122285
黑橋牌,120305
豬,96750
美牛小排,95110
原味,80805
台灣豬,80585
精選,74015
美牛,72245
牛排,67925
公斤,55775
美國,48560
一口,38810
肉,38710
蒜味,32030
牛,30220
干貝,23400
鮮嫩,19100
HIL,18535
新東陽,17660
雞塊,16125
火鍋,13640
大厚,12200
台糖,10480
肋眼,9230
澳洲,8360
肌,8080
霜降,7430
300g,6895
菲力豬,1390
排,1390
丼,1390
爪哇,945
咖哩,945
食,510
柳定,510
炸雞,510
胭脂,345
肉香腸,345
雙拼,345
便當,345
炸蝦,230
麻婆,215
和,40
日本,40
20220808a1ybfu,5
20220812ov955p,5
20220806y1okic,5
20221227m2tzlxfh,5
20221218v6qzfpd3,5
20221211m2tzvga4,5
