name,num
低,4127610
溫促,4126430
鮮食促,1854590
履歷,286375
冷凍,201870
有機,181880
包,137640
青花菜,123780
產銷,120625
地瓜,118705
玉米,115725
北農,110365
菇,110360
蔬菜,109050
雪白,85225
好,64335
家樂福,49095
空心菜,46115
250g,44850
公斤,42945
菠菜,40440
辣椒,31700
花椰菜,25860
田園,25480
好友,24450
菜產銷,23795
毛豆,21855
小白菜,21745
香蕉,20725
浪味,19535
仙,19535
冷藏,18220
仁,16090
亞細亞,15930
KS,14810
力,12740
20g,9810
野物,7500
上,7110
42g,7025
要,7015
大成,6720
需要,6615
裝,6615
大包,6580
肉豬,6240
腿,4970
沙拉,4950
肉去,4735
綜合,4520
產,3300
100g,1795
請給,1560
雞,1485
粉,1485
無裹,1425
我,1110
3,845
4,650
兩包,610
10,545
2,505
6,495
鮮切,490
有,465
裕,460
5,405
