name,num
雞,788025
餐六塊,577220
啦,272850
卡,272840
雞腿堡,272705
k,272670
豆腐,271555
蛋,216720
泡菜,74370
慶尚,63210
北道,63210
餐盒,56725
雞塊,56300
烤,56185
雞胸,56120
四塊,25280
紙包,25250
404572,20735
鄉嫩,14700
胡,12535
黑,12530
套餐,12260
麻油,10935
雞絕,9910
配餐,9910
經典,8770
HIL,8500
麵,7905
香酥,7430
腿,7400
羅,7390
勒,7390
排,7390
雞軟骨,4415
台酒,3535
燒肉,3475
組合餐,3075
大,2940
炒,2940
一番,2940
和,2880
風炸雞,2880
肉加,1650
義美,990
XL,990
SesameOilFoilicio,945
唐揚,490
塊,310
2,305
山葵,190
大阪,190
燒,190
珍珠,190
堡,190
腰,170
炸,170
酥,170
內,170
20221220y9bebd3x,5
20221222y5kgk7ad,5
20221218y7vtmct0,5
20221209y9bep4uw,5
蝦,5
20221231f5mqiei4,5
20221227y7ee12,5
20221229a4axjp,5
海味,5
