name,num
金星,421430
禮兌換,421430
泰山,263860
西雅圖,171935
咖啡,96240
愛之味,95050
拿,86445
鐵,82900
桂格,79210
代銷,70435
八寶粥,70250
大特,70040
濃經典,70040
阿華田,58545
椰果,51035
純水,50610
奶茶,45300
綠豆,45115
約克夏,44290
湯,43745
花生仁,36915
二合一,34425
嚴焙大濾掛,31900
穀,27415
入,24735
仙草,21520
牛奶,19885
黃,17900
麩片,17890
金,17890
花生,16845
濾掛,16680
珍,16145
夏日,16100
雙倍,15770
濃烈,15740
伯朗,15525
玻,15185
極品,13730
薏仁,13255
寶,12865
即食,12365
妞妞,11825
條瓜,9470
即品,9325
三合一,9275
藍山,7950
原味,4650
焦糖,3810
12,3585
二配,3505
海鹽,3505
UCC,2890
美味,2230
麥片,2230
21g15,2170
綜,2110
烏干達,2090
巴西,2090
特濃,2000
耳,1470
閑,1450
25g,1000
包,955
