name,num
地瓜,61800
條,30875
A,30865
送,30865
BOGO,30865
包,22770
金家,22710
紫薯,22710
元,3025
區現,2850
蒸,2850
紅春香,1515
日本,1515
球,970
紫,970
25,825
栗香,775
30,670
35,670
葉,555
40,425
瓜片,210
400g,185
享券餘額,175
大潤發,175
2000,175
即,175
型,175
20,175
香小農地,165
100g,165
M90,165
太珍,165
素,115
麻豆,60
區農會,45
芋泥,40
大拇指,40
台南,40
新市區,30
農會,30
毛豆,30
地,25
110,20
682335,20
390g,20
公克,20
柚子,20
蔘,20
紅地,20
黃,20
4710713176010,20
大,15
甘露,15
2kg,15
米,15
香好,15
關農芋,15
梨,15
入,10
餅,10
8,10
7,10
6,5
