name,num
花生,588990
萬歲,559615
牌,456010
堅果,453970
杏仁,366480
盛香珍,296990
綜合,252225
瓜子,245940
小魚,237960
腰果,156335
豆奶,153795
包,118285
無,112240
香,109585
焙果,104725
洽洽,103005
義美,99245
義美高纖,85505
全,70635
烤,70625
纖果,70260
乾,69315
餐現,68830
調味,61510
蒜,59070
總匯點,55570
心包,55570
茸,54375
果,53130
鹽,49730
皇冠,39415
之,39415
KS,39190
特選,31500
豐葵,29560
焦糖,25990
糖,24170
牌楓,23350
每日,22195
海鹽,22010
香酥,21785
塔,20320
核桃,13235
珍,12585
穀,12585
優果,9255
米果,7620
堅果果,7090
天然,6865
代付,2505
代收,2505
大包,2255
果漾,1435
芭樂乾,1140
添加,570
梨乾,570
果乾,560
