name,num
5,333715
鮮食類,197295
味,196865
滷,192185
小菜,189285
外送費,187515
保健食品,151035
日用,149800
嬰兒,71915
棉被,36875
安全,36730
兒童,36065
推車,29300
收納袋,27015
墊,17150
奶嘴,14640
包巾,13010
袋,11310
小獅,10910
枕,9445
台灣,9385
防撞,8720
現貨,8160
床,7555
王辛巴,7485
牛津布,6695
專門店,6365
入,6340
代收,5150
代付,5100
收納,5025
ChildrensSpecialtyStor,4580
衣物,4415
防脹氣,4165
超柔,3975
防水,3895
寬口,3890
透明,3410
防護,3290
安撫,3225
Simba,3165
座椅,2795
3M,2755
鎖,2620
汽座,2525
俱,2120
傢,2120
雨罩,1845
ChildrensSpecialtySto,1785
手推,1730
衣架,1720
雨衣,1715
尿布,1595
貝親,1315
矽膠,1220
抽,1205
寵物,1155
膠安撫,925
扇貝,925
全矽,925
茶碗,905
蒸,905
100,855
式,820
20221224g1ymt5mv,5
20221227q7pdcipq,5
20221203h9pr0fa3,5
20221211u8tseh6p,5
20221212o2zg5743,5
