name,num
無,1636340
汽油,1628340
折抵,1616070
鉛,1616010
額,1616005
洗衣,1203860
903019500195,927935
費,557270
物流,557210
抗菌,550430
精補,470295
精,347395
清潔劑,313025
充包,309365
芳香,298850
清潔,262820
一匙,234945
洗碗,217625
日用,203515
百貨類,203440
衣物,198725
5,159955
豆,156990
零食,151650
家庭,148065
馬,142035
類,139705
桶,139265
保健食品,134785
靈,119700
白鴿,115290
香氛,113565
EX,113310
日本,109570
除臭,109390
蘭諾,96190
寶瀅,92445
植萃,92400
LENOR,92090
天然,85360
超濃縮,58285
魔術靈,52630
瓶,49390
浴廁,45350
珂,36215
潔霜,28410
500ml,23995
去,23985
劑,22640
袋,22520
原裝,22295
800g,20595
霉劑,19985
軟護衣,19840
浴室,19670
打,19090
透,17520
靈制菌,16350
花仙子,16255
香香,15685
茶樹,14650
精油,13750
機專用,13570
洗潔,13490
濃縮,12200
