name,num
5,794035
入,622900
清潔,588180
噴霧,537465
回饋,530210
香氛,513260
金,508890
衣物,469660
機,450605
打火,450320
菜瓜布,401235
現貨,283565
手套,274420
日用,270250
百貨類,270190
拖把,248370
日本,244745
風倍,241295
除菌,238545
清織物,232670
消臭,226505
抹布,221340
零食,205915
保健食品,204640
類,204095
M,203500
家庭,199100
台灣,186290
百利,172335
海綿,157440
370ML,150030
出貨,96695
垃圾桶,94250
24H,91015
購物,76225
洗碗,69965
吸水,69290
餐具,66780
370ml,61895
專用,60675
小麥,57525
珊瑚,41780
製,41155
3M,40535
楓康,39860
拖,37720
1,35685
擦,32805
刷,32770
絨,32690
OP,32565
芳香,30245
平板,28270
發票,26860
毛巾,25180
組,24935
布,24260
包,23455
架,22260
JohnsBlend,21895
乳膠,21720
補充,20855
絨裡,19670
妙潔,19070
L,17030
山藥,15940
感應,6565
按,4315
壓式,3970
垃圾,3875
垃圾袋,3825
12L,3485
