name,num
巧克力,5259080
可可,1532395
波堤,850385
211216,613965
五促,601750
康康,601750
黑,574790
牛奶,569265
健達,495815
可樂中,403760
草莓,403710
221101,322900
77,292510
碎片,265485
繽紛樂,261095
金莎,250155
三粒,246825
V,246710
球,231000
製,223075
品,220810
明治,215680
好,214790
萬丹,212390
雙層,209550
葡萄,151600
夾心,148050
義美,147335
杏仁,143565
榛果,136505
醇,121525
大乳加,120005
捲,86340
奇巧,84915
歐維氏,79175
72,77665
威化,72610
風味,64595
條裝,41550
糖衣,33410
餅乾,27355
樂天,24840
協奏,22615
酥片,20980
經典,20550
棒,20320
脂,19150
星冰樂,18775
金磚,14385
好時,14385
濃,9160
橘子,1835
杯,1710
活動,1710
生,700
