name,num
醬,1393820
鹽,676340
等,584860
濃湯,583735
油品,575480
加值,575240
504CT0000000,553440
料理,539555
醬油,465330
咖哩,355705
日式,234000
糰,205125
子,204985
辣椒,200970
胡椒,185395
小,169665
磨坊,157030
橄欖油,140420
胡椒粉,132495
番茄,126870
佛蒙特,92290
釀造,90770
甜味,82935
四季,71695
白,70940
初榨,57585
味好,52285
龜甲萬,45960
牛肉,37305
甘甜,34280
中辣,30570
泰式,29775
蒜,28125
香,27190
冷壓,26720
老干媽,26250
得意,25890
美白,24550
美,22740
蒜蓉,22080
爪哇,21600
一天,21385
寧記,20840
海底,20840
KS,18545
特級,16490
鍋底,14745
亨氏,14530
1L,14445
醬包,13310
雞油,13155
麵,12860
大王,12500
韓國產品,12440
30g,9785
黑,9260
需要,1760
包,1560
要,980
跟,790
2,275
