name,num
有機,568980
豆芽,341315
有,258910
綠,174270
黃,162745
家樂福,115105
香菇,54870
機厚肉,53285
機杏,52265
鮑菇,40830
5,40480
菇,39900
珍菇,28385
雪白,25425
一生,16930
統,16310
芽,15695
機有,15065
150g,13510
機甘栗,13510
高麗菜,13395
菜,11810
180g,10520
白菜,10285
糙米,6310
銀川,5680
3KG,5500
100g,4635
好菇,4540
荷葉,4435
黑葉,4040
黑豆,3255
包,2720
盒,1545
100g5,1510
催芽,1445
活力,1445
漿,1420
S,1305
150g5,1240
機燕麥,1190
飲,1190
N,1145
統盛,1135
450ml,1135
台灣,1010
亞植,975
豆漿,925
皺葉,905
豌豆,755
嬰,755
粉,740
250g,740
300g,695
圓滿,695
甜,610
米森有,500
200g5,450
機漢方,220
麩質,205
機無,205
穀,115
黑芝麻,115
聖常,115
