name,num
無籽,334395
梅肉,220070
S,210150
乾,159195
果物,139355
葡萄乾,137185
梅子,106310
草莓,104480
一生,92880
統,91710
甜心,83030
芭樂乾,82360
冰梅肉,72060
日本,71835
義美生機,70480
蜜,67870
葡萄,50920
芒果乾,44050
超大,42985
摘,41140
轉手,41120
脆片,35910
等,34150
艙,34150
冰梅,32205
光泉,27790
泰國頭,27065
鮮乳加,25185
MARIANI,24825
AUTUMNCRISP,21440
Sour3,17085
水果,12105
菲律賓,11440
片,10430
三葉,9795
機,8725
泰國,8265
12g,7875
8,7465
上質,7465
大,7440
翠子,6795
果實,6575
蘆薈,6575
大粒,6575
蔬果,6400
生機,6375
愛文,6180
7D,5420
宿霧,5395
手摘,5340
風味,5075
真甘純,5035
餐包,4360
綜合,4045
原味,4015
盛香珍,3420
核果,3260
義美生,3085
機繽紛,2765
台灣,2765
玉米,2615
小品,2405
晶典,2405
名產,1650
包,1470
