name,num
衛生紙,2448530
抽取,2322180
抽,2100770
式,1327415
1,1299685
張,1297320
印花,1240290
雙人牌,1234670
舒潔,1062440
包,806125
片,739600
10,649115
濕巾,635735
紙巾,493635
舒適,452615
90,422825
廚房,343985
安心,132575
日本,122580
春風,97420
捲,94380
復,88455
餐巾,81550
來,53210
辣椒,49810
易,48605
紙,35345
健褲,32250
厚型,31305
褲型,25270
需要,24780
大王,21090
滿意,20285
尿布,20180
幫寶適,19200
紙及,18950
輕巧褲,17550
一級,17520
要,12490
請,10470
提供,10345
辣,6300
紙跟,6040
先生,4700
預約,2470
預約單,2200
跟,2105
巾,1815
及,1740
和,1010
包紙,760
附紙,345
單張,205
單林,80
曾,55
陳,55
單謝,50
