name,num
泡水,1093355
鹼性,705455
水,662260
離子,538225
氣,444630
飲,398200
氣泡,362660
強氣,257430
檸檬氣,257225
小,211065
味丹,210795
分子,210645
台鹽,195650
多喝水,178580
海洋,178190
悅氏,171600
泡,170015
口味,139040
舒味,136725
思萊姆,136720
柚子,129740
MORE,126955
海鹽,112445
泉水,111330
OOHA,90450
悅氏礦,84895
烏龍氣,80625
蜜桃,80155
天然水,77700
怡漾,76395
舒味思氣,72810
Light,46330
荔枝,41595
水蜜桃,34510
礦沛氣,32955
1500ml,28830
泡酒,28635
天然,28045
CrystalValley,27820
585ml,24680
檸檬口,21120
葡萄,18290
乳,17540
CC,17465
礦,16995
350ml,13680
600ml,13575
AQUAGEN,13515
補給,11595
日本,10375
素滴,9270
ASOLO,8555
750ML,8555
大利,8260
義,8180
泡礦,7690
560ml,7030
22L,5720
法拉,4610
蕊,4610
檸檬風味氣,3700
檸檬風味,1350
