name,num
V,260125
那堤,225030
濃抹,168030
茶,154240
冰醇,145755
冰風味,65065
冰樂,29350
風味星,15540
香草,15020
茶星,13810
醇,13810
冰特風味,13510
鐵,9100
冰沙,8985
阿奇儂,8255
風味,7995
兌換券,7705
21PLUS21,5855
風味館,5855
焦糖,5770
一份,5765
鹹,3520
星冰樂,1725
可可,1450
度,1355
C,1355
85,1355
巧克,1070
N,1065
冰,850
杏仁,780
奶,780
榛果,780
蛋糕,770
情熱,760
價格,760
草莓,680
團,680
招牌,680
仙草,680
摩卡,650
碎片,650
派,515
楊,375
惹火,375
LANAHAIRSALON,115
沙龍,105
吸吸,60
樹飛雪大心,55
植美,55
噗,55
噗速酵,55
金桔,25
20220916k3cn5rli,5
20220921t0swx4im,5
20220925t198elx1,5
20220903f5azl7m7,5
20220909c9eij9ga,5
綜合莓,5
起司,5
20220910o7txc3q2,5
20230419e5bd6j55,5
20220903g1ukklwg,5
20220917p9lufhgj,5
20220916v6rx2vpi,5
20220928i1kscy84,5
20220929heueayt5,5
20230311f2sn7lkq,5
