name,num
汽油,14093100
無,14002325
鉛,13996770
113F12095001,8391675
113F12092005,2900365
95,1397275
代收,726730
113F12098008,583815
手續費,557385
92,337920
機車,198495
汽車,185070
車用,112850
雨衣,98185
代付,94640
用,90600
專用,76430
紀錄,74600
支付,74600
清淨劑,74565
支架,69060
強淨,66385
116S07385K28,64430
安全帽,60990
手套,54880
防水,34740
手機,32080
套餐,27470
現貨,26910
台灣,25705
玻璃,21390
堡,19975
椅背,18370
成人,18005
便,17960
牛肉,17480
安格斯,16770
鏡片,15280
BLTAngusBeefB,14485
BLT,14485
環保,14425
劑,14410
兒童,13100
輕便,11770
輕,11555
式,9410
防霧,7950
內,7500
手機架,7280
物流,6775
服務費,6710
香氛,6130
架,5525
內襯,5420
尿袋,5095
重力,5005
襯套,4905
車載,4905
配,4695
你,4695
防盜,4575
吸塵器,4550
小比薩任,2905
鷄,2460
香,2460
蛋,2460
勁濃,2180
白雪,365
