name,num
咖啡,387780
入,101210
鷹牌,63625
煉奶,60665
即,50020
溶,46630
雀巢,46580
掛式,42910
三合一,42690
拿,41520
鐵,40380
濾掛,39745
UCC,37440
白,22400
10,21165
咖啡豆,21095
MOCCONA,17700
金牌,16135
炭燒,12755
系列,12185
精品,12130
二合一,11820
典藏,11090
風味濾,10775
研磨,10610
濾掛式,10350
沖,10290
深焙濾,9875
法式,9795
職人,9420
Nestle,9395
焙,9215
盒組,9080
6,9080
包,8935
微,7980
中,7870
杯,7805
cama,5940
精選,4680
尋豆師,3935
camacafe,3935
包袋,3420
伯朗,2895
西雅圖,2890
摩卡,2740
原味,2575
重焙,2485
經典,1455
入盒,1375
綜合,1355
50,1205
鮮,1170
