name,num
茶,913335
奶茶,829390
雞,780080
卡啦脆,775645
k,775645
可可,463905
穀,367085
濃湯,321390
桂格,303935
立頓,300280
玉米,281050
拿,269485
那堤,241670
麥香,182325
玉山,166620
馬,159725
碎片,143170
摩卡,142685
奶粉,138780
黑芝麻,127110
原味,113265
雀巢,88115
黑糖,78750
燕麥,78280
脆片,76585
大,74045
風味,73895
小冰,66245
V,60295
杯,60295
10oz,59550
榛果,59255
包,55095
蘑菇,45720
麵,43165
特濃黑,43110
二配,42435
薑,41995
大冰,40120
黑芝麻糊,39675
加,38290
粉,34785
克寧,33635
330ml,32935
糰,32410
烏,32410
子,32410
母茶,29150
光泉,27520
紅藜,26005
山藥,25270
台糖,23825
義美無糖,18375
銀養,17990
全家人,17780
杏仁,17305
鈣,16655
鮮豆漿,15685
金克寧,14610
晚安,11220
家樂福,7735
饅,7690
星冰樂,5530
海鮮,3730
一份,3300
享餐,2985
比薩獨,2985
SeafoodPizzaExclusiv,1165
蒸,745
茶碗,745
20220830z2izgp4j,5
20220827z4db6bpm,5
