name,num
麵,2651515
拉,255325
農心,253690
包,224090
牛肉,200170
辛拉,192870
碗,165450
涼,144240
不倒翁,125200
風味,121020
拌,119030
大蒜,118335
香辣,102270
麻辣,87895
韓國,64555
桶,50525
杯,45520
烏龍,42460
袋,40985
爽口,39810
燙,38615
泡菜,37530
辣白菜,36150
阿紅椒,35620
超值,35295
海鮮味,32045
入,31920
珍味,26755
原汁,25720
肉產地,24430
西班牙,24115
鮮蝦,23525
日本,22580
蝦,22355
純,22090
冬粉,21925
來,21770
6,21515
鴨血,12765
海鮮,9785
選素,6910
臭豆腐,6105
泡,5790
味道,4810
日清合,4330
粉,3290
功夫,2455
手作,2430
橙品,2310
乾,1690
烘焙,1445
製,1340
筋,1005
分裝,960
韓式,655
單點,380
燒肉,375
中式,160
金品,160
炒,160
肉排,155
私房,155
