name,num
洗衣,572615
衣架,463510
洗衣袋,285730
10,176835
錠,158720
R,154330
衣錠,146850
曬,146475
膜,143160
普拿疼,142155
槽,126170
日用,124930
百貨類,124330
衣物,106105
精,69365
內衣,61720
防滑,54350
鏽,53290
入,51740
不,50555
鋼,44465
AH,41425
739L,41425
細網,41400
一匙,37345
靈,36390
EX,36390
樂品,35965
加厚,30970
無痕,26465
手洗,26400
貼心,26285
白鴿,26285
迷人,26280
小蒼蘭,25730
2,23185
衣夾,20905
夾,20200
劑,19390
網,18810
三明治,17210
抗菌,16770
膠囊,16430
加粗,15730
去污,14825
MARIEL4D,14400
網細網,14385
專用,12390
購物,8830
晾衣,8195
夾曬,3920
棉被,2735
衣,2685
