name,num
麵,56800
啦,34060
咔,34055
中辣,33805
雞腿堡,33300
XL,31950
風味,30890
韓式,28475
牛肉,25700
料理,22815
雞,20925
套餐,19615
美式,17865
炸雞,17785
老爹,17725
花椒,14975
青,14975
香麻,14445
咖哩,10915
吮指,10855
雙雞絕,10855
配餐,10855
那,10170
波隆,10170
盒,9710
230g,8780
餐辣,7640
ZingerSuperXL,7180
包,6925
加紙,6115
2PCSChickenSuper,5525
好侍,4685
佛蒙特,4510
紙包直,4055
鼎味,3595
小朋友,3060
辣味,2000
送,1365
QQ,1365
球,1365
辣,1355
雙人餐,1340
腿,760
堡絕,755
外送,645
三人餐,515
四人餐,125
20230120z7vt,30
20221221y6hfjgcv,5
20221225l5uuvf5c,5
20221204y6hfuaqr,5
20221225y4rtrce9,5
20221203l68twn72,5
20221216z8uu5vr3,5
20221226mmj2pc51,5
20221210y8tl533o,5
20221214z5twv37w,5
20221221y9aphrt1,5
20221207z0blp66b,5
