name,num
堡,1576935
牛肉,987710
餐,646210
雞腿堡,543540
BLT,501840
蛋堡,379730
起司,355465
火腿蛋,273635
雙層,260840
培根,255990
肉,244725
勁辣,226185
沙拉,193225
美式,132430
套餐,128640
啦,124400
雞蛋堡,116130
卡,106975
k,78175
厚切,75420
薯來,72580
漢堡,46115
王,45350
麥燒,39030
藜,39030
珍珠,39030
花椒,38355
青,38345
BurgerKing,30960
洋蔥圈,26230
雞,25695
豬肉,24475
滿福堡,24420
組合餐,19760
SausageMcMuffinwi,19155
加蛋,19155
腿,17145
堡絕,17145
配餐,17145
可頌,14870
無敵,13045
4C,13045
重磅,12760
咔,8875
烤,8270
紐奧良,8265
安格斯,7955
星巴克,7045
堡餐,3980
雙牛堡,850
輕檸,850
大餐,455
限定,265
熱熔,205
重,35
20220911slhnpnz,5
