name,num
熱狗,1460120
原味,945855
經典,892650
起司,273555
濃夾心,235370
美式,204250
大熱狗,141055
捲,134275
乳酪,132155
熱狗堡,128205
熱食,112130
丹麥,82485
大亨,64780
元,63140
即,62520
美廉社,62510
型,62510
享券餘額,62510
20,57940
芝士,45990
國產,41370
雞球,34660
香辣,34660
漢堡,18270
翅,14960
辣味,13380
辣雞,12940
臘腸,6860
摩斯,6755
吉士,6730
N,6140
軟糖,5850
甲霸,4255
照燒,3840
30g,3545
墨西哥,3040
套餐,2090
雞肉,1965
洽富,1965
大熱,1965
哈辣,1520
華堡,1300
大比薩,1150
花生,1025
牛肉,655
堡,655
雙層,590
辣椒,445
香腸,440
脆雞堡,370
比薩,360
gw,340
辣香貝果,335
肉桂,255
大餐,210
SpicyMexicanLargeP,110
王,110
BurgerKing,110
w,20
20221113i50wbghv,5
20221102i50w5egq,5
20221122spgucnn7,5
20221109agem862q,5
20221104jesyje,5
20221106z861li,5
20221105ayj4ey,5
20221110y4rtfagb,5
