name,num
件,1429850
紅茶,1401770
元,1175390
仙女,1154745
2,987765
奶茶,950205
冰,900140
茶,740095
青茶,594720
新冰,584195
四季春,575700
蜂蜜,565215
新熱,546565
醇,532230
熱紅茶,410390
V,378585
檸檬紅,356675
小,314360
569,289505
3993,289505
蜜柚,120095
冰經典,118865
大,99865
伯爵,83450
1,65745
杯,43565
那堤,43445
抹,41400
冰搖,32550
特大,19260
中,18855
飲料,13415
餐飲,11560
冰大,10285
珍珠奶茶,9735
美式,6480
或,6480
中杯,6480
海岩,6275
大熱,4680
黑糖,4670
熱,4010
去,1215
熱紅絲,1090
絨燕麥奶,1090
冰中,950
全分,850
Tryall,850
離,850
杯熱,695
半價,695
第二杯,695
風味,695
核果,695
太妃,695
都,325
胡椒,205
大冰,130
