name,num
二配,1190505
麵,1099575
包,1099100
肉,592655
鬆,592620
一配,374860
好,335955
棒棒,335760
草莓,292765
果粒,165175
滿餡,165170
杯,122360
風味,91990
那堤,91820
V,88935
冰淇淋,36110
迷你,34150
拉亞漢堡,18515
純,18440
蛋,16525
餅,9465
層,9465
千,9465
抹,8380
香草,7575
甜筒,6880
配餐,5210
巧克力,5205
茶,4505
超杯,4460
明治,4460
芒果,3855
雞,3225
絕,3080
脆,3080
特大,2885
太妃,2885
核果,2885
第二杯,2885
半價,2885
曠世奇,2685
杯熱,2270
青,2130
花椒,2130
櫻桃,635
黑莓,635
杯冰,615
香濃,340
可可,285
榛果,275
醬,275
貝果,275
豆乳,125
三,125
丸,125
開心果,125
冰棒,10
黑,10
