name,num
蝦皮,3261160
折扣,3258960
蝦幣,1977975
鮭魚,287595
特選,186505
V,178445
那堤,174420
糰,162205
輪切,140995
鮪,127030
冷藏,123785
魚片,101125
切片,90345
魷魚,74880
鯖魚,72420
蝦仁,68440
挪威,65185
鹽,57265
入,44135
22,42180
握壽司,42125
虱目,39590
魚,38900
鯖,35850
薄鹽,30675
白腹,28820
冰鮮,25730
魠,23575
土,23575
烤,22035
鳳尾,21375
干,19640
刻花,19340
一夜,18470
捲,15455
4,15325
塔塔醬,15325
條,15325
南方,15025
麻辣,13865
背肉,13415
生鮮,13415
魚肚,12855
270g,12760
鮮剝,12750
大田,12320
海洋,12195
量,12120
包,11775
特級,11030
石斑,10695
龍虎,10630
魚丸,10055
義美,9945
飯,9925
炒,9925
學甲無刺,9255
辣椒,6585
無刺,6215
學甲,5965
150g,5490
薄,5235
醬,3825
東泉,3695
410g,2645
10,1955
珍寶蟹,1150
味,1150
棒,1150
420g,1010
100g5,810
盒,810
塊,775
辣雞塊,775
水牛城,775
