name,num
折價券,2387575
檔,1979705
價券,1663340
蝦皮,1615330
折扣,1615200
現金折,1523575
雞,1471215
雞塊,1408485
梅花,411970
冷藏,268215
豬,149415
肉片,135480
火鍋片,124775
澳洲,117880
飯,102935
火鍋,94025
冷凍,81580
公斤,74975
澳牛,72390
穀,65765
牛肉,64700
台灣豬,53770
雞肉,52930
糰,51405
二配,51195
薄切,45945
肉豬,43725
咖哩,37110
胸肉,34500
歐風,34500
牛,33285
飼,32040
安格斯,25170
堡,23730
270g30,23530
蟹,13805
培根,13220
日式,11985
味,11965
風味,11910
棒,11895
支包,11765
組合餐,10235
派,9010
片,8825
即,8820
蕃茄,8810
蝦堡,7730
黃,7730
金,7730
代收,7610
代付,7600
菜,2430
食,2410
排定,2410
億長,2310
御坊,2310
年,2255
預購,2175
厚切,2050
愛買,1835
和,1510
風,1510
田園,1370
帕里尼,1370
蔬菜,970
捲,970
林聰明,210
大,125
20221209y1yecll6,5
20221204k9ayki5o,5
20221203kvoq7o5o,5
