name,num
玉米,3642945
履歷,2619530
湯小,2482915
有機,2193615
有,1397820
產銷,907275
蔔,798605
青江,783955
分享,727825
菇,693730
雪白,650785
筍非,526695
基改,508620
高麗菜,463465
好,423120
菜,400695
針菇,364755
機金,364735
青蔥,361675
甘藍,346920
配大薯,336250
優惠,330805
筍,324170
C,294375
小白菜,284115
菜產銷,234410
紅蘿,224010
白菜,218200
地瓜,207145
好菇,189695
道,189695
水果,128635
空心菜,106985
嚴選,94335
切絲,45650
條,45490
配,45490
球,35435
85,33865
折,33865
500G,29650
12,28280
紫心,24135
綜合,22155
家樂福,18390
進口,13760
辣椒,12735
粒,11710
14,11445
250g,10190
鮮採,7240
機紅,6850
螺陽,6605
力,6590
荷葉,6050
裕,5080
250g5,4110
袋,4110
蚵,2315
鍋,2300
機青,2250
溫室,2225
提供,1820
請,1770
北,1765
包,1640
鴻,1115
i,630
包謝謝,145
4,90
2,65
包和餐,60
