name,num
發酵,1487420
乳,1261110
活菌,1170535
多多,1035020
統一,926035
原味,808970
比菲多,781915
活益,618140
萊爾富,544840
即,544840
纖順暢,307925
新,307915
減糖,256180
配方,177800
乳酸,62975
草莓,55470
LP33,46490
益敏,46470
優多,46470
飲料,46070
啵,42330
樂樂,42290
降卡,38120
235ml,25970
飲品,23905
10,23270
必思,22670
乳酸菌,22445
藍莓,20155
可爾,19425
300m,18850
元,18480
折,17795
加購,17475
麵,9930
金拉,9905
味,8970
500ml,6095
飲,5895
風味,5725
471ml,4835
軟糖,3795
瓶,3030
盒,3000
936ml,3000
可,2930
鐵蛋,2500
記香,2465
LCA506,2460
商品,2285
牛奶,2105
優酪,1960
香草,1810
SBisco,1795
奶油,1790
夾,1775
健酪,1635
金車,950
1450ml,395
