name,num
水,3188980
鹼性,2821265
離子,2511700
海洋,1227025
台鹽,1100975
純水,995800
泰山,509585
悅氏,324330
PH90,274400
統一,271965
怡漾,266655
S,259475
天然水,251720
竹炭,240710
泉水,178985
舒跑,164895
深層,118895
味丹,116550
抽,115890
加厚型,115705
LOVEPEACE80,115700
850ml,111740
多喝水,102835
Uniwater550,101930
波爾,72275
礦,61045
家樂福,60145
超值,59665
Light,53620
入,46370
富維克礦,43425
天然,39135
微鹼性,23135
微鹼,18795
80,18360
UNIwater,17760
1500ml,17570
買悅氏礦,16710
水壺,14750
濕巾,13550
15L,11530
850mlx20,11415
瓶箱,10860
曜,7540
Evian,7420
雲,7225
依,6175
純淨,5110
摩斯,5105
法國,5075
深命力,5040
瓶,4545
2200ml,3680
運動,3420
山泉水,3270
大容量,3165
水瓶,2120
水杯,1770
漸層,1535
健身,1370
直,1160
