name,num
米,682465
三好,188065
一等,157330
玉米,154040
糙米,148780
香米,129205
穀,109905
湯大,109065
池上,78865
米酒,77015
台灣,69010
料理,60250
紅標,60135
小米,53960
包,53605
履歷,44325
天生,40920
漿,39305
二等,38255
好米,35690
6KG,27735
光泉,18505
堡,18405
官方,10965
手環,10505
袋,10290
旗艦店,9990
安心,9340
越光,9090
栽培,8350
薑,7925
無毒,7105
號,6765
白米,5850
錶,5845
米家,5755
現貨,4820
帶,4110
送餐,3765
方式,3570
7,3435
送,2885
6,2790
一,1910
有品,1865
號安,1710
出貨,1425
2,1250
當天,1230
手,1095
公司,1055
無線,995
路,720
巷,520
弄,480
段,300
1,185
街,160
一路,140
