name,num
軟糖,1150320
糖,1131095
草莓,777755
棉花,718360
薄荷,673260
茶葉,534615
倉,534550
蛋入,534420
糖波堤,484340
221129,483480
原味,336830
口味,334960
啾,295245
嗨,295035
葡萄,280575
水果,275160
巧克力,272125
比菲多,193945
S,187485
易口,164705
風味,164275
零食,150290
5,147120
錠,142680
類,142045
糖果,138525
麵,132805
日用,132545
百貨類,132495
科學,123100
餅乾,121630
包,117500
日本,117090
無糖,103905
清潔,103755
保健食品,103525
口香糖,97105
彩虹,96335
超涼,83105
舒無糖,76295
喉糖,73690
混合,67515
酥,39515
甘樂,37835
鮮果,36725
實軟,36715
牛奶糖,34295
3,34220
布丁,33780
上,33760
香辣,21015
捲,17935
穀,17435
那堤,12335
北,10545
V,9405
杯,6480
太妃,2930
核果,2930
派,2925
南瓜,2925
