name,num
玉米,1594645
湯小,1322505
C,647040
咖哩,271340
泡菜,263850
鮪,263190
韓式,240335
愛之味,215930
辣椒,215660
麵,212435
玉米粒,197850
筋,170580
剝皮,169430
土豆,144710
魚片,138300
紅燒,128450
雞湯,125800
辣味,98675
鰻,90935
佛蒙特,81275
甜,61270
黃,54860
湯,53705
康寶金,53475
易開,47230
罐,43295
永偉,39770
濃湯,37720
筍盒,37085
金,33850
飯,33850
濃辛,33850
巨人,33565
綠,33510
皮,32385
一度,31725
贊剝,31650
塊,30650
牛頭牌,29605
福岡,24850
台糖,22740
香辣,21900
遠洋牌,21680
中辣,20635
牛肉,20565
蘿,19810
蔔,19810
醋,19720
甜味,19660
雞肉,19020
活寶牌,17225
SB,16610
活寶,16460
燒鰻,15820
肉醬,14515
罐組,12765
同榮,11855
好侍,11040
福松,8125
新東陽,5955
滷,2885
肉,2885
椪,2885
小朋友,2630
溫玉,1315
日式,1245
調理包,1180
味王,1085
單人餐,655
慶祝,655
20221116x2gdmy7l,5
20221115koqogduj,5
20221114blxmhwyt,5
20221113k2dblqky,5
20221120h7wze6xf,5
20221120i4idjmfw,5
