name,num
茶,12916370
奶茶,6766840
綠茶,4626240
綠,2867180
烏龍,2474080
件,2352580
喫,2300805
純,2247030
元,2061615
5,1837810
紅茶,1685575
茶園,1452510
裏,1296640
日式,1274765
原萃,1146925
無糖,973810
立頓,964060
冰室,952500
飲,944235
麥香,869495
茶集,852365
午后,785740
時光,759555
重乳,739475
王白毫,707380
阿薩姆,584130
黑松,422000
茶花,410575
茉莉,365670
咖啡,356815
冰,270300
泡茶,269780
冷,269475
蜂蜜,238245
王青心,237145
式,235110
王英,235080
濃韻,230900
飲品,165480
V,143900
加購,132155
01011231,131850
那堤,128540
韓國,100560
福吉茶,96975
精選,36270
每日,35795
正價品,28835
現貨,22630
冰福吉茶,19310
台灣,17935
大,12220
附湯,8865
或,8865
保久乳,8385
台農麥芽,8385
Lunashop,8240
熱銷,7810
入,6935
石榴,6415
1,5970
玫瑰,5870
蜜,5785
