name,num
奇美,244670
肉包,158150
芝麻,110950
鮮,101250
包,86775
鹿港,53925
包子,53265
捲,41165
香辣,38575
美式,29800
黑糖,27660
餐包,24435
茶碗,23810
蒸,23665
蒜,23470
日式,22110
燒包,21295
叉,21265
正港,19885
辣味,19165
鷄,18980
脆,18980
麥,18980
腿,18980
2,18950
套餐,18765
塊,18580
HIL,18380
麻辣,13455
鼎王,13380
冷凍,13080
饅頭,6990
物,3080
地瓜,3080
穀,2115
辣椒,1775
栗,1315
佐藤,1165
酥皮,1070
焗,1070
粒包,1020
大拇指,1020
390g,1020
65g6,1015
義美,965
享餐,845
比薩獨,845
鮮菇,845
彩蔬,845
3,330
VegetableDelightPi,310
4,275
胡椒,235
醬,225
團李錦記,225
餐飲,210
5,205
包熱,205
6,165
要,160
鹽,95
刺,50
黑椒,50
需要,35
小燒,35
20220925e1dh2x91,5
20220921q4arixcf,5
20220903z3uyj3hk,5
