name,num
5,6585790
1,3995095
外送費,3870805
鮮食類,3709980
味,3693925
滷,3641150
小菜,3626275
蛋糕,2392545
送,2011680
巧克力,1273160
一配,1038755
那堤,897090
V,716035
馥郁,576415
蜂蜜,456190
冰特選,329090
黑,265875
原味,255525
特選,247325
杯子,227885
經典,224450
冰,194940
一,182015
211216,170610
歐菲香,170610
捲,158165
蛋撻,117110
大,105665
享券,97045
肯德基,94820
即,88275
珍珠,86670
球,86250
醇,75015
堡,74195
燒,73700
杯,69885
薑,58040
超級,54940
大麥,54940
栗香,44190
蒙布,44190
禮盒,37250
2,36025
夏威夷,32300
優酪,26025
冰栗,19870
果,19345
日出,15730
大阪,15670
個,10880
薄,10875
人,10875
啦,7800
咔,7795
中辣,7585
雞腿堡,7025
花生,6440
熔岩,6440
XL,5640
套餐,5640
單點,4475
小比薩,4240
經典餐,3240
歡享,3240
和,825
20221212y0gs0v0r,5
20221213a4ax61a9,5
20221215b8btu3ra,5
20221215z2ohhv5r,5
20221211z4svhbaz,5
20221210y2hce6tw,5
20221220e9asosgy,5
20221217r7dudbxc,5
