name,num
洗衣,637885
抗菌,151340
膠囊,134730
精,97920
日本,95000
漂白,90700
超濃縮,83330
球,82630
ARIEL,77650
豆,74340
白蘭,73055
衣物,63840
水,61635
洗衣粉,60965
管家,48060
妙,47985
香香,44280
香草,39080
4D,37955
園洗,36520
濃縮,36430
選蛋,35160
橘子,33115
工坊,31590
折價,31295
900G630G,30300
進口,30195
蛋白,30085
香氛,27300
芳香,26255
洗選,23665
富翁,23360
抗,19350
酵素,18010
PG,17975
超強,16710
膠球,16440
環保,16000
雨衣,15995
15L,15840
4X,15130
素,13000
加倍,11295
凝膠,9245
EX,9070
補充,8970
液,8875
潔,8625
一匙,7810
凝珠,6040
獅王,4455
花王,2040
去,1875
漬,1610
現貨,1455
