name,num
牛乳,2211955
光泉,1445735
牛奶,903280
蘋果,626650
巧克力,536900
他,435525
富維,435525
麥芽,413020
瑞穗,368750
福樂,293315
統一,137665
調味,125970
木瓜,121390
特濃鮮,114285
乳蛋塔,113990
乳,108390
草莓,83395
鮮乳坊,79745
飲,79715
鮮乳,70965
可可,66225
金,47950
朋友,43885
好,43885
4,38685
杯,36510
霜淇淋,36400
小農,36400
乳坊,36400
裝鮮,36400
調乳中,31125
金蘋果,30035
慢燒,27570
BINGGRAE,19425
西瓜,14710
400ml,14675
蜜棗,14250
棒,14145
入,13410
現烤,13355
乳飲品,12235
老鷹,10075
燒,10075
5,9685
限定,8535
極品,8495
味,8160
300ml,8125
香醇,4985
韓國,3905
棉糖,3195
三層次,2755
1300ml,2185
片,1990
鈣,1960
有點,1870
燒慢燒,1815
