name,num
豆,250370
211216,179955
香波,179955
堤,179955
沙茶,96035
德昌,87205
乾,76715
滷,54775
香脆,54695
豆乾,53825
原味,49465
炸雞,43275
新,42860
麻辣,42180
豆干,39935
鼎王,28980
蛋,28980
干,24015
老,17605
太珍香,16320
香,16230
巡禮,15905
香辣,15635
雞,15615
胗,15615
大溪,14365
泡菜,12475
韓式,12475
燒肉,12475
包,12250
60g,10130
噌,9435
大厚,8455
丁,7780
名產豆,7730
大,6700
量溢旺,3495
香豆,2860
白玉,2835
大薄,2695
辣味,2350
澔,2165
良,2145
蒟,2070
蒻,2065
輕食,1865
比薩獨,1460
享餐,1460
肉,1090
干豆,1085
烤肉,1040
豆乾丁,765
鮮菇,135
彩蔬,135
20221108l1pbutci,5
20221113z9xw4sg7,5
20221107a3ryslop,5
20221102z8fka4dq,5
20220802z7sal0,5
