name,num
漿,2617750
無,1975610
光泉,1913885
加糖,1910915
豆奶,1344305
高纖豆,1073925
燕麥,942575
鮮豆漿,930255
奶,839160
麥,816300
燕,809815
製,809800
客,809630
義美,795150
糖豆,633315
桂格,517045
的,496995
喝,496985
黑豆,450395
厚濃,291160
統一,273395
黑,259020
無糖,227335
義美無糖,211215
粒豆漿,203470
桂格顆,203285
愛之味,184410
傳統,181530
燕麥奶,179700
統一陽光,161410
450ml,160930
高纖,134275
厚,119410
濃高纖,106850
原味,96820
低糖,88400
黑巧燕麥,79355
優酪,54875
飲,52955
BAF,52025
純,40945
濃燕麥,40905
天然,32110
寒天,24805
檸檬,23510
經典,19500
4,14420
無糖濃,14415
蜂蜜,12260
咖啡,9145
Oatly,7920
可可,7555
厚高纖,5400
風味燕,4370
麥奶,4370
那堤,4370
紅絲絨,1985
榛果,1880
特選紅絲絨,410
冰特選,300
冰特,95
