name,num
飲料,14909430
促,11142400
能量,1209425
補給,1183270
紅牛,559730
飲,497130
牛維,454025
寶礦力,361200
水得,351605
他命,339585
運動,320125
利多,300100
FIN,298070
奧,296750
水,293730
舒跑,237395
保力,215575
達蠻,205875
碳酸,190275
580ml,162260
蠻牛,152605
黑松,139790
水蠻,118375
無糖,108115
配方,99320
海鹽,87785
590ml,76790
900ml,61970
去,52510
冰,50785
975m,36075
元素,29735
動,29735
975ml,28485
1460ml,25245
均,12050
一價,12020
杯,10925
瓶,10305
粉末,10050
IONWATER,9900
自備,8195
1,2975
2,1460
請,960
折扣,645
一杯,430
3,320
都,255
折,240
使用,220
