name,num
捲,826130
桂冠,657295
黃,424570
肉桂,392855
豆皮,282740
金魚,264295
翅,242715
豆腐,229790
勁辣,214935
香菇,176555
鮮,102895
入,91755
起司,82020
旋風,79620
5,54645
2,37535
和,27910
風章,27910
魚燒,27910
燕餃,22365
貢丸,21635
經典,20880
包,20795
金山,18415
臘腸,18415
大舊,17930
人芝心,15635
個,15635
貢丸湯,15205
嘉楠,12730
享餐,12255
比薩獨,12255
加旋風,12145
辣味,11710
120g,11100
丸,8585
600g5,8010
苦瓜,6335
封,5645
JapaneseTakoyakiP,4915
超級,4425
堡,4425
組合餐,4425
大麥,4425
燒肉,4425
珍珠,4425
胡椒,2425
餛飩,1285
胡椒粉,1185
鹽,720
排骨,685
湯,680
原盅,680
告,600
馬,600
林家,600
包子,600
淡水,600
3,210
紫菜,205
10,185
蔔,180
蘿,180
瓜,150
4,105
8,90
鵝肉,40
炒,5
鹹,5
20221215ez2b3,5
20221208y2waf,5
蛋,5
