name,num
雀巢,958
奶粉,958
號新,958
金能,958
恩,958
800g,958
1,586
HA1,578
隨身,35
碟,34
金士頓,26
威剛,25
合金,23
鋅,23
廣穎,17
吋,16
硬碟,16
讀卡機,15
晶片,14
螢幕,13
創見,11
Transcend,11
行動,11
TFSDHCU1C10R10032GME,10
KingstonDataTraveler100,7
型,7
SeagateOneTouch4TB25,7
SP,7
自然人,6
憑證,6
C100,6
黑色,6
EZ100PUATM,6
128GB,6
SanDiskiXpandFlip,6
aiboAB22ATM,6
提貨卡,4
24,4
64GBSuperior,4
納豆,4
電競,3
Kingstone,3
DDR4320016GB,3
WDBBG,3
高丸,3
外接,3
JetFlash930C256G,3
WDMyBook12TB35,3
TFSDXCU1C10R10064GME,3
專業,3
ESD270C1TBUSB3,3
多功能,3
品,3
256GBJetFlash790,2
小粒,2
B0364GB,2
白,2
CS22QC30,2
165g,2
KingstonKC600mSATA512,1
縣產,1
卷琦玉,1
中粒,1
JetFlash920512GB,1
KCR359,1
19684095,1
04800472,1
04801584,1
53050106,1
MTS430S1TBM22,1
Storejet25A32TB,1
品工,1
162g,1
