name,num
洋芋片,3322325
原味,3196520
配薯餅,2264520
口味,1834975
玉米,1660555
捲,1616925
包,1616530
雞,1584765
巧克力,1488455
起司,1426045
草莓,1393770
薯條,1391270
蛋撻,990965
k,962280
品客,848375
樂事,593525
卡辣姆久,283855
的,257530
海苔,256205
日本,249570
棒,233760
一配,228685
經典,221005
可樂果,201970
酥,198305
先,187675
義美,155560
格力,141900
黍,127630
小熊,120565
紅燒,104755
玉米片,96745
多力,94650
真魷味,86775
全家,77925
北,68145
珍珠,54675
堡,53575
辣椒,51210
海洋,43995
先生,43205
東鳩,42760
薯片,35415
風味,31480
洋芋,29880
藜,29400
超薄,29295
麥,27280
大麥,24625
超級,20425
夏威夷,20250
組合餐,17985
鹽小卷,14910
波樂,13910
辣醬味,10790
享餐,9420
比薩獨,9345
巴拉,7370
紫薯,6420
烤,5260
腿,5215
要,4875
個,4715
人,4715
多辣醬,4470
小姐,4315
味,4075
麵,3725
地獄,3230
包謝謝,3025
