name,num
食品,839930
飲食,671530
加,307145
濃度,307095
一份,307090
飲料,183505
共有,152615
飲,131030
黑木耳,94820
餐飲,92500
燕麥,92350
1,81695
有機,73445
啤酒,55280
2,47870
露,36580
燕麥奶,32965
家樂福,31015
黑豆,22170
光泉,21190
3,18530
原味,17915
台灣,14610
素,13110
喲,13070
豆奶,12285
桂圓,10830
漿,8095
21,7565
風味館,7560
瓶,7560
餐即,7560
享券,7560
OAT,7470
傳統,7040
600ml,7025
天生,6635
維生素,6535
入,5840
雞,5815
烤,5760
809021,5760
4,5675
金牌,5670
無糖濃,5650
團,5585
海尼根,5260
露入,5000
小,4270
木耳,4260
人,3795
蔘,3795
牛奶,3615
椪,3560
綠豆,3560
水,3550
組合包,3455
南庄,3200
去,3120
愛之味,2940
愛健,2215
530ml,2065
乳,1975
統一蜜,1045
養生,960
黑,935
雞蛋,760
羅,655
耳機,400
入耳式,310
麥克風,145
原廠,75
入耳,70
有線,70
耳麥,50
MOE267,45
