name,num
環保杯,1790735
日式,277670
料理,267425
不,259975
鋼,220250
5,157850
用品,157265
點心,138770
樂扣,117365
鏽,94520
日本,85310
矽膠,84690
玻璃,81995
陶瓷,79565
保鮮盒,78460
現貨,61700
製,59095
304,55980
餐具,54325
台灣,46235
模具,43720
盒,32925
碗,25715
微波,25260
墊,24215
買,20800
吸管,18415
水壺,17795
保,13170
冰,13100
PP,12890
保溫,12800
隨行杯,12200
隔,11960
不銹鋼,11770
真空,11125
康寧,10995
出貨,10790
杯,10240
手套,10020
690ml,9955
耐熱,9505
CorelleBrands,8480
1,8440
刮刀,8440
熱墊,8080
油瓶,7855
廚具,7635
環保,6860
密封,6810
冰塊,5175
倉庫,4375
糰,3820
