name,num
鱈魚,554530
香絲,500655
北海,494125
600G,172135
海苔,110515
魷魚,108270
原味,86270
珍珍,51755
包,50620
鬆,48460
肉,44595
圈,42115
寬,36600
沙拉,35990
統一,35985
辣味,34540
絲,33985
一配,31625
龍蝦,31425
明太子,31405
風味沙,31375
風味丸,30000
東港,30000
棒,27450
日用,26500
百貨類,26250
海鮮,25220
農心,25190
鱈,24315
慢燒,22465
牛奶,22465
120A135g,21255
鹽,20575
韓味,20435
不二,19990
烤,19005
貢丸,16520
燻,14115
麻辣,12215
嘉楠,11895
香絲大,11680
香,6275
魷,5285
經典,5065
魚條,4875
芝麻,4655
鱈絲,4655
福茂,4590
北海道,3980
M,3575
風味燒,3275
風味,3155
30g,3135
黑芝麻,2765
95g,2650
S,2555
酥,1335
韓國,450
45g,315
捲,180
切片,135
鶴壽庭,80
黑潮,65
旗跡,65
