name,num
鮮乳,6015615
全脂,3665140
林鳳營,1325215
瑞穗,1236845
義美,1102010
光泉,1028955
低脂,513225
乳香,501410
福樂,440040
牛乳,429180
鮮奶,377170
一番,301890
六甲,298775
田莊,298775
鮮鮮乳,288560
世家,276625
套餐,230835
鮮乳坊,228350
農戶,172995
2,142640
乳,121995
背鮮乳,119745
崙,119745
巧克力,97205
義美低,96420
農民鮮,91590
統一,64595
英泉,60350
936ml,58445
1857ml,48465
鮮乳中,46920
1858ml,46505
小,43005
鈣,42515
極,41680
製,41680
鮮乳大,39870
100,39335
營養,36375
高,35380
木瓜,32760
930ml,31760
1858m,30435
純鮮乳,29300
290ml,23665
純鮮奶,20985
玉米片,14665
鮮乳杯裝,14645
250g,14645
盒,14325
瓶,6990
大拇指,6975
