name,num
麵,3727075
包,3538790
土司,2334110
二配,2277745
一配,1605605
夾心,1406280
吐司,1154650
起司,1045995
奶酥,1027730
菠蘿,939130
可頌,262885
肌,204140
里,204140
小農鮮奶,159205
香蒜,125715
花生,121885
歐,113830
布里,113760
輕食,108665
堡,104830
雞,100870
捲,100865
柳,99160
原味,90065
塔,87875
全麥,86655
帕瑪森,84660
白,76475
個,64260
k,49915
餐,35400
1,31870
韓國,31865
50g9,31850
XL,26550
組合餐,21110
火腿,19460
珍珠,17695
藜,15375
麥,11790
海洋,8910
套餐,6420
雞獨,4750
披薩炸,4750
MINI,4750
享餐,4750
辣味,4445
華堡,4200
燒,3265
麥元氣,3225
脆雞堡,3125
美式,2290
培根,1945
雙層,1700
牛堡,970
嗨,840
漢堡,520
早餐,390
附餐,390
小華堡,300
雞薯,250
E,250
大餐,100
20230420r3gcy,10
20230204t42eq,10
20221225sg2om,5
20221230ke25b,5
