name,num
麵,2861710
炒,387055
大利,370400
涼,338465
烤,275860
雞,268575
焗,257030
燻,255785
火腿,251180
蒜,165045
排義,164595
腿,164480
炒塔香,164330
牛肉,138655
烏龍,132265
義,72375
蕃茄,55145
紅燒,51190
石二鍋,46415
海鮮,45025
酸菜,36255
拉,34425
素,27155
麻婆豆腐,27075
蔥燒,25965
包,25625
愛,19090
族,19090
咖哩,15185
農心,14515
烏,14515
香辣,14440
炒碼,13205
123,7840
套餐,7735
送,4625
飯,4625
個,4625
紙包,4625
人,4625
單點,4625
夏威夷,4625
明太子,3780
風奶,3780
比薩獨,3510
享餐,3510
番茄,3305
排骨,1990
湯烏龍,1730
炸醬,820
牛三寶,770
檸汁椒,405
麻雞,405
麻辣,375
生義,370
王品,325
6,115
味,40
噌,40
韓式,40
20221205z7ofvmfz,5
20221210y3kaf9q8,5
20220915g3waxxud,5
20220904s4ire8w2,5
20220927m6ay654l,5
20221211b5vb3z91,5
20221212z2yus2ic,5
20221207z4njcjam,5
