name,category_no,category_name,sub_no,sub_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
科克蘭鈣鎂鋅錠 ,12,保健食品類,78,保健/養生,,,,,
滿意寶寶L號 ,15,日用百貨類,108,民生紙品,滿意,,,,
LAY'S原味洋芋片 ,13,點心/零食類,81,餅乾,洋芋片,原味,洋芋,味,
日本山藥950G ,15,日用百貨類,108,民生紙品,日本,,,,
CALBEE可可香蕉 ,8,烘焙/甜點類,59,其他甜食,可可,,,,
歌舞伎揚綜合米果 ,13,點心/零食類,94,其他零食,米果,綜合,歌舞伎,揚綜合,
漢盛泡菜切片罐裝 ,14,民生食材類,95,料理調味,,,,,
牛肉咖哩 600G ,17,寵物用品類,127,狗食,牛肉,肉,,,
蘇菲棉條量多加強 ,16,洗浴清潔/保養類,119,女性衛生用品,棉,,,,
威德回饋金 ,22,服飾鞋包類,149,品牌鞋款,,,,,
威德益生菌 ,12,保健食品類,78,保健/養生,,,,,
力度伸發泡錠 ,12,保健食品類,78,保健/養生,,,,,
發泡錠回饋金 ,12,保健食品類,79,美肌/纖體,,,,,
美國特選牛肋真空 ,19,家電類,134,廚房家電,,,,,
台灣土雞骨腿切 ,10,生鮮食品類,64,生鮮肉品,雞,,,,
台灣豬梅花火鍋片 ,11,冷凍食品類,72,冷凍肉品,火鍋片,梅花,台灣,豬,台灣豬
經典牛奶冰淇淋 ,6,冰品類,33,冰淇淋,冰淇淋,牛奶,,,
雞汁厚切洋芋片 ,13,點心/零食類,81,餅乾,洋芋片,雞,洋芋,,
蛤蠣濃湯 ,14,民生食材類,95,料理調味,濃湯,,,,
產銷履歷鮮香菇 ,10,生鮮食品類,62,生鮮蔬菜,履歷,產銷,菇,,
GIOVANNI洗髮精 ,16,洗浴清潔/保養類,120,髮部清潔/保養,髮,洗,精,,
U.A.男童短褲 ,22,服飾鞋包類,152,童裝,褲,短褲,,,
MJB冷泡咖啡濾泡 ,15,日用百貨類,114,餐廚用品,,,,,
LEVI'S女短袖上衣 ,22,服飾鞋包類,155,個人服飾配件,,,,,
COUPON STARBUCKS ,21,3C類,143,手機/通訊/週邊,,,,,
KS養殖大生蝦仁 ,11,冷凍食品類,73,冷凍海鮮,仁,KS,生蝦,,
KS鹽烤海苔 ,13,點心/零食類,86,海苔,海苔,烤,鹽,KS,海
鳳梨椰奶冰沙 ,6,冰品類,33,冰淇淋,,,,,
雞肉捲 ,7,鮮食類,43,關東煮,捲,,,,
EC 妙用綿柔衛生紙 ,15,日用百貨類,108,民生紙品,衛生紙,紙,,,
喜年來蔬菜薄餅 ,13,點心/零食類,81,餅乾,,,,,
哥倫比亞咖啡豆 ,1,咖啡類,2,罐裝/瓶裝咖啡,,,,,
海尼根啤酒24PK ,25,菸酒類,171,啤酒,啤酒,酒,,,
貝膚黛瑪潔膚4PK ,12,保健食品類,79,美肌/纖體,,,,,
產銷履歷玉米筍 ,10,生鮮食品類,62,生鮮蔬菜,玉米,履歷,產銷,筍,
傳貴有機無糖豆漿 ,5,豆米漿/植物奶,27,豆漿,漿,無,糖豆,無糖,
紅龍香脆雞球2KG ,11,冷凍食品類,76,冷凍微波料理,雞,紅龍,,,
富統台灣豬熱狗 ,7,鮮食類,42,熱狗,熱狗,,,,
提拉米蘇蛋糕 ,8,烘焙/甜點類,59,其他甜食,蛋糕,,,,
KS進口吳郭魚排 ,11,冷凍食品類,73,冷凍海鮮,KS,魚,,,
鹽味冷凍毛豆 ,11,冷凍食品類,76,冷凍微波料理,冷凍,,,,
有機A菜500G ,17,寵物用品類,129,寵物用品,,,,,
#78080 回饋金 ,7,鮮食類,44,米飯類,,,,,
乳香手撕麵包 ,8,烘焙/甜點類,56,麵包,麵,包,,,
DAISHO胡椒鹽 ,14,民生食材類,95,料理調味,鹽,胡椒,,,
美國特選牛小火鍋 ,11,冷凍食品類,76,冷凍微波料理,火鍋,小,,,
KS特選綜合堅果 ,13,點心/零食類,82,堅果,堅果,綜合,果,KS,特選
台灣豬歐式香腸 ,11,冷凍食品類,76,冷凍微波料理,豬,,,,
桂格喝的燕麥 ,5,豆米漿/植物奶,27,豆漿,燕麥,麥,燕,桂格,的
珍珠芭樂乾 ,13,點心/零食類,88,果乾,乾,芭樂乾,,,
健司纖三薯脆片 ,13,點心/零食類,81,餅乾,,,,,
布里歐麵包3入 ,14,民生食材類,99,各式麵條/拌麵,,,,,
PHILIPS 43PUH6034 ,21,3C類,143,手機/通訊/週邊,,,,,
鮮一杯濾掛咖啡 ,1,咖啡類,2,罐裝/瓶裝咖啡,,,,,
銀寶女回饋金 ,7,鮮食類,44,米飯類,,,,,
金牛限定版咖啡豆 ,1,咖啡類,2,罐裝/瓶裝咖啡,,,,,
香蕉 ,10,生鮮食品類,63,生鮮水果,,,,,
總匯披薩單片 ,17,寵物用品類,129,寵物用品,,,,,
手工黃金芝麻醬 ,14,民生食材類,102,南北乾貨/雜糧食材,,,,,
酪梨佐雞肉沙拉 ,7,鮮食類,48,生鮮蔬果/沙拉,,,,,
有機青江菜 500G ,14,民生食材類,97,有機食品,有機,有,5,菜,
福樂黑芝麻保久乳 ,4,乳品類,22,保久乳,福樂,保久乳,乳,,
KS保鮮膜2入 ,17,寵物用品類,129,寵物用品,,,,,
美國伏特加1.75L ,17,寵物用品類,129,寵物用品,L,,,,
ANGIE'S爆米花 ,13,點心/零食類,94,其他零食,爆米花,S,,,
紐西蘭陽光金圓頭 ,14,民生食材類,102,南北乾貨/雜糧食材,,,,,
