大分類編號,大分類,中分類編號,中分類
1,咖啡類,1,現做咖啡飲品
1,咖啡類,2,罐裝/瓶裝咖啡
1,咖啡類,3,沖泡式咖啡
1,咖啡類,4,濾掛式咖啡
1,咖啡類,5,即溶咖啡
1,咖啡類,6,咖啡相關食用品
2,飲料類,7,現做茶飲品
2,飲料類,8,茶飲
2,飲料類,9,碳酸/汽水
2,飲料類,10,果汁/果醋飲
2,飲料類,11,運動飲料
2,飲料類,12,養生飲品
2,飲料類,13,能量飲料
2,飲料類,14,特殊風味飲品
2,飲料類,15,沖泡類飲品
2,飲料類,16,現調果汁
2,飲料類,17,其他現調飲品
3,水類,18,礦泉水
3,水類,19,氣泡水
3,水類,20,機能水
4,乳品類,21,鮮乳類
4,乳品類,22,保久乳
4,乳品類,23,調味乳
4,乳品類,24,優格
4,乳品類,25,優酪乳
4,乳品類,26,發酵乳
5,豆米漿/植物奶,27,豆漿
5,豆米漿/植物奶,28,米漿
5,豆米漿/植物奶,29,燕麥奶
5,豆米漿/植物奶,30,其他植物奶
6,冰品類,31,現做霜淇淋/聖代
6,冰品類,32,冰棒/雪糕
6,冰品類,33,冰淇淋
6,冰品類,34,甜筒
6,冰品類,35,仙草/愛玉
6,冰品類,36,水果冰品
6,冰品類,37,冰塊
6,冰品類,38,現調冰品
6,冰品類,39,其他冰品
7,鮮食類,40,蒸箱食品
7,鮮食類,41,地瓜
7,鮮食類,42,熱狗
7,鮮食類,43,關東煮
7,鮮食類,44,米飯類
7,鮮食類,45,麵食類
7,鮮食類,46,三明治
7,鮮食類,47,漢堡
7,鮮食類,48,生鮮蔬果/沙拉
7,鮮食類,49,小菜/滷味
7,鮮食類,50,湯品
7,鮮食類,51,水餃/點心
7,鮮食類,52,雞胸肉
7,鮮食類,53,茶葉蛋/水煮蛋
7,鮮食類,54,肉品
7,鮮食類,55,其他鮮食商品
8,烘焙/甜點類,56,麵包
8,烘焙/甜點類,57,蛋糕
8,烘焙/甜點類,58,中式糕點
8,烘焙/甜點類,59,其他甜食
9,蛋品類,53,水煮蛋
9,蛋品類,60,生雞蛋
9,蛋品類,61,加工蛋
10,生鮮食品類,62,生鮮蔬菜
10,生鮮食品類,63,生鮮水果
10,生鮮食品類,64,生鮮肉品
10,生鮮食品類,65,生鮮海鮮
10,生鮮食品類,66,豆腐
10,生鮮食品類,67,冷藏調理
10,生鮮食品類,68,速食調理包
10,生鮮食品類,69,其他生鮮食品
11,冷凍食品類,70,冷凍蔬菜
11,冷凍食品類,71,冷凍水果
11,冷凍食品類,72,冷凍肉品
11,冷凍食品類,73,冷凍海鮮
11,冷凍食品類,74,火鍋用料
11,冷凍食品類,75,冷凍水餃/點心類
11,冷凍食品類,76,冷凍微波料理
11,冷凍食品類,77,其他冷凍商品
12,保健食品類,78,保健/養生
12,保健食品類,79,美肌/纖體
12,保健食品類,80,醫材/藥品
13,點心/零食類,81,餅乾
13,點心/零食類,82,堅果
13,點心/零食類,83,肉乾/肉紙
13,點心/零食類,84,豆乾
13,點心/零食類,85,魷魚絲
13,點心/零食類,86,海苔
13,點心/零食類,87,布丁/果凍
13,點心/零食類,88,果乾
13,點心/零食類,89,蔬片乾
13,點心/零食類,90,即飲甜品
13,點心/零食類,91,糖果
13,點心/零食類,92,巧克力
13,點心/零食類,93,口香糖
13,點心/零食類,94,其他零食
14,民生食材類,95,料理調味
14,民生食材類,96,果醬/抹醬
14,民生食材類,97,有機食品
14,民生食材類,98,罐頭
14,民生食材類,99,各式麵條/拌麵
14,民生食材類,100,泡麵
14,民生食材類,101,嬰幼兒食品
14,民生食材類,102,南北乾貨/雜糧食材
14,民生食材類,103,米
14,民生食材類,104,油
14,民生食材類,105,奶粉
14,民生食材類,106,沖泡即食品
14,民生食材類,107,其他民生食材
15,日用百貨類,108,民生紙品
15,日用百貨類,109,洗衣用具
15,日用百貨類,110,家庭清潔用品
15,日用百貨類,111,家庭清潔洗劑
15,日用百貨類,112,衣物清潔
15,日用百貨類,113,嬰幼兒用品
15,日用百貨類,114,餐廚用品
15,日用百貨類,115,汽機車用品類
15,日用百貨類,116,衛浴用品
15,日用百貨類,117,晴雨相關用具
15,日用百貨類,118,其他日用百貨
16,洗浴清潔/保養類,119,女性衛生用品
16,洗浴清潔/保養類,120,髮部清潔/保養
16,洗浴清潔/保養類,121,身體清潔/保養
16,洗浴清潔/保養類,122,口腔保健
16,洗浴清潔/保養類,123,彩妝/卸妝
16,洗浴清潔/保養類,124,男性用品/保養
16,洗浴清潔/保養類,125,美容保養
17,寵物用品類,126,貓食
17,寵物用品類,127,狗食
17,寵物用品類,128,其他寵物食品
17,寵物用品類,129,寵物用品
18,戶外休閒用品類,130,運動健身
18,戶外休閒用品類,131,戶外露營
18,戶外休閒用品類,132,行李箱/配件
19,家電類,133,大型家電
19,家電類,134,廚房家電
19,家電類,135,生活家電
19,家電類,136,美容家電
19,家電類,137,視聽娛樂家電
19,家電類,138,電池充電相關
20,書本/文教用品類,139,書籍
20,書本/文教用品類,140,數位內容
20,書本/文教用品類,141,文教用品
20,書本/文教用品類,142,報紙
21,3C類,143,手機/通訊/週邊
21,3C類,144,桌機/筆電/平板
21,3C類,145,電腦螢幕/硬碟
21,3C類,146,相機/攝影/DV
21,3C類,147,週邊/耗材
21,3C類,148,虛擬/點數商品
22,服飾鞋包類,149,品牌鞋款
22,服飾鞋包類,150,流行鞋襪
22,服飾鞋包類,151,男女內著
22,服飾鞋包類,152,童裝
22,服飾鞋包類,153,女裝
22,服飾鞋包類,154,男裝
22,服飾鞋包類,155,個人服飾配件
22,服飾鞋包類,156,運動機能服飾
23,精品類,157,鑽石
23,精品類,158,珠寶／玉石
23,精品類,159,精品／飾品
23,精品類,160,手錶
23,精品類,161,黃金
24,傢俱/家飾類,162,家飾
24,傢俱/家飾類,163,寢具
24,傢俱/家飾類,164,傢俱
24,傢俱/家飾類,165,床墊
24,傢俱/家飾類,166,燈具
25,菸酒類,167,菸品
25,菸酒類,168,威士忌
25,菸酒類,169,清酒
25,菸酒類,170,調酒
25,菸酒類,171,啤酒
25,菸酒類,172,紅白酒
25,菸酒類,173,香檳氣泡酒
25,菸酒類,174,藥酒
25,菸酒類,175,高粱
26,禮盒類,176,禮盒
